Upbeat
Chill
Melancholic
Energetic
Relaxed
Focus/Concentration
Workout
Romantic
Angry/Rebellious
Reflective
Joyful/Celebratory
Sleepy/Calm
Nostalgic
Mysterious
Adventurous
Mellow
Dreamy
Gritty
Euphoric
Empowering
Productive/Motivating
Playful
Driving
Serene
Introspective
